number_of_people,latitude,longitude
8,60.49216054216993,5.383923856613463
32,60.49216054216993,5.387037301087433
26,60.49216054216993,5.388594023324418
9,60.491108095583144,5.380698956151722
25,60.491108095583144,5.383812336135029
26,60.491108095583144,5.385369026126684
7,60.491108095583144,5.386925716118338
5,60.49005566135336,5.375917535452903
9,60.49005566135336,5.383700824196862
9,60.49005566135336,5.385257481945655
21,60.49005566135336,5.386814139694446
25,60.49005566135336,5.388370797443238
11,60.48900323947983,5.377362818764347
18,60.48900323947983,5.385145946306341
16,60.48900323947983,5.38670257181474
15,60.48900323947983,5.38825919732314
13,60.48900323947983,5.4007122013903315
6,60.48795082996174,5.380364639396306
5,60.48795082996174,5.38192123266678
22,60.48795082996174,5.383477825937255
8,60.48795082996174,5.38503441920773
29,60.48795082996174,5.386591012478204
10,60.48795082996174,5.38814760574868
6,60.48795082996174,5.399043758642003
6,60.48795082996174,5.400600351912479
6,60.48689843279829,5.374026973403664
12,60.48689843279829,5.386479461683817
20,60.48689843279829,5.388036022718836
10,60.48689843279829,5.398931949963971
11,60.48584604798871,5.3816983330244685
6,60.48584604798871,5.403489736252912
5,60.48584604798871,5.405046265054944
13,60.484793675532195,5.381586896002886
28,60.484793675532195,5.383143392574398
60,60.484793675532195,5.384699889145911
83,60.484793675532195,5.386256385717422
7,60.484793675532195,5.387812882288935
5,60.484793675532195,5.403377848004054
6,60.484793675532195,5.404934344575567
5,60.484793675532195,5.406490841147079
56,60.48374131542797,5.38458839619992
90,60.48374131542797,5.38614486054338
11,60.48374131542797,5.387701324886841
6,60.48374131542797,5.40326596832144
6,60.48374131542797,5.406378897008361
9,60.48268896767521,5.3907026402610425
6,60.48795082996174,5.377251452855355
8,60.48795082996174,5.3788080461258305
12,60.48689843279829,5.3771400954737025
19,60.48689843279829,5.378696656508722
18,60.48689843279829,5.380253217543742
14,60.48584604798871,5.3770287466183735
26,60.48584604798871,5.378585275420405
26,60.48584604798871,5.380141804222437
11,60.484793675532195,5.295979584569724
9,60.484793675532195,5.297536081141237
7,60.484793675532195,5.353569957715669
15,60.484793675532195,5.376917406288349
31,60.484793675532195,5.378473902859862
26,60.484793675532195,5.380030399431375
12,60.48374131542797,5.29742639296616
24,60.48374131542797,5.298982857309619
9,60.48374131542797,5.35345910933072
11,60.48374131542797,5.35501557367418
6,60.48374131542797,5.375249610139161
49,60.48374131542797,5.381475467513
69,60.48374131542797,5.38303193185646
7,60.48268896767521,5.354904701549911
5,60.48268896767521,5.3564611336677865
5,60.48268896767521,5.358017565785661
11,60.48268896767521,5.3735818869644145
30,60.48268896767521,5.37513831908229
18,60.48268896767521,5.382920479671667
9,60.48268896767521,5.384476911789542
30,60.48268896767521,5.386033343907417
50,60.48268896767521,5.387589776025292
26,60.48268896767521,5.389146208143167
7,60.48163663227315,5.354793837913364
6,60.48163663227315,5.356350237808122
6,60.48163663227315,5.371914236755696
52,60.48163663227315,5.373470636650455
83,60.48163663227315,5.375027036545212
55,60.48163663227315,5.37658343643997
6,60.48163663227315,5.385921835808515
7,60.48163663227315,5.38903463559803
11,60.480584309221015,5.309548320214442
9,60.480584309221015,5.365577556482278
24,60.480584309221015,5.374915762526917
25,60.480584309221015,5.376472130201023
6,60.47953199851795,5.3109947433335805
7,60.47953199851795,5.312551078789502
11,60.47953199851795,5.334339775172409
7,60.478479700163255,5.334229355797304
6,60.478479700163255,5.342010871998322
7,60.478479700163255,5.351348691439543
5,60.47742741415605,5.337231486927722
10,60.47742741415605,5.338787757954673
6,60.47742741415605,5.340344028981624
13,60.47742741415605,5.341900300008575
5,60.47742741415605,5.343456571035525
7,60.47742741415605,5.345012842062477
15,60.47637514049562,5.330896064768626
26,60.47637514049562,5.33245230358479
6,60.47637514049562,5.334008542400953
20,60.47637514049562,5.337121020033281
17,60.47637514049562,5.338677258849445
7,60.47637514049562,5.341789736481772
7,60.47637514049562,5.343345975297935
18,60.47637514049562,5.344902214114099
10,60.47637514049562,5.346458452930263
7,60.47637514049562,5.348014691746426
5,60.47637514049562,5.34957093056259
6,60.47637514049562,5.352683408194918
6,60.47532287918112,5.3230047021228035
7,60.47532287918112,5.330785735162012
9,60.47532287918112,5.332341941769853
6,60.47532287918112,5.333898148377695
7,60.47532287918112,5.335454354985536
11,60.47532287918112,5.337010561593378
13,60.47532287918112,5.33856676820122
10,60.47532287918112,5.341679181416904
17,60.47532287918112,5.343235388024746
15,60.47532287918112,5.3447915946325875
7,60.47532287918112,5.346347801240429
12,60.47532287918112,5.34790400784827
7,60.47532287918112,5.349460214456113
5,60.47532287918112,5.3541288342796385
21,60.47427063021176,5.321338367587162
7,60.47427063021176,5.3291192395970866
5,60.47427063021176,5.333787762803041
7,60.47427063021176,5.3353439372050255
11,60.47427063021176,5.336900111607011
41,60.473218393586805,5.322784390285836
6,60.473218393586805,5.3305651012788
9,60.473218393586805,5.332121243477392
10,60.472166169305396,5.324230357009529
5,60.472166169305396,5.325786467007192
8,60.472166169305396,5.330454797000186
36,60.47111395736681,5.325676267764631
13,60.47111395736681,5.327232345563832
16,60.47006175777018,5.32712212255753
10,60.469009570514785,5.3270119079849465
