stop_id,stop_name,stop_lat,stop_lon,stop_desc,location_type,parent_station,wheelchair_boarding,vehicle_type,platform_code
NSR:Quay:100960,Ånes,60.268286,5.368463,,,NSR:StopPlace:59114,,700,
NSR:Quay:100961,Vågsbro,60.269599,5.370204,,,NSR:StopPlace:59115,,700,
NSR:Quay:100962,Vågsbro,60.269705,5.370847,,,NSR:StopPlace:59115,,700,
NSR:Quay:100963,Melkeviken Sæle,60.270027,5.380554,,,NSR:StopPlace:29907,,700,
NSR:Quay:100964,Selsvik gård,60.271469,5.382861,,,NSR:StopPlace:29904,,700,
NSR:Quay:100965,Sæle,60.271647,5.387335,,,NSR:StopPlace:29898,,700,
NSR:Quay:100966,Dragefjellshytta,60.272262,5.372942,,,NSR:StopPlace:29606,,700,
NSR:Quay:100967,Hamre sør,60.275318,5.373543,,,NSR:StopPlace:29600,,700,
NSR:Quay:100970,Hamre nord,60.278755,5.378714,,,NSR:StopPlace:29594,,700,
NSR:Quay:100971,Indre Hamre,60.283063,5.381541,,,NSR:StopPlace:29589,,700,
NSR:Quay:100972,Hatlestad,60.284172,5.382394,,,NSR:StopPlace:29580,,700,
NSR:Quay:100973,Hatlestad nedre,60.287333,5.386305,,,NSR:StopPlace:29574,,700,
NSR:Quay:100974,Sandven,60.286589,5.393786,,,NSR:StopPlace:31579,,700,
NSR:Quay:100977,Kaland skole rundkjøring,60.278747,5.404997,,,NSR:StopPlace:59119,,700,
NSR:Quay:100981,Birkelandsflaten,60.293194,5.268097,,,NSR:StopPlace:30091,,700,
NSR:Quay:100983,Skjold skole,60.304334,5.332932,,,NSR:StopPlace:31419,,700,
NSR:Quay:100986,Mårdalen,60.309125,5.344602,,,NSR:StopPlace:31414,,700,
NSR:Quay:101002,Gullfjellsvegen nedre,60.364610,5.489489,,,NSR:StopPlace:59133,,700,
NSR:Quay:101003,Gullfjellsvegen nedre,60.364514,5.489543,,,NSR:StopPlace:59133,,700,
